"","spp","CommonName","Source","PrimerNote","Country","Site","lat","lon","stockid","CollectionYear","NumMarkers","MarkerName","CrossSpp","n","Repeat","He","Hese","file","He_orig"
"1","Acanthochromis polyacanthus","Spiny chromis ","Miller-Sims et al. 2005 Mol Ecol Notes 5:841-843",1,"Australia","One Tree Island Lagoon",-23.507409,152.066936,NA,"",1,"AC 33",0,20,"2",0.73,NA,"msats000",0.73
"2","Acanthochromis polyacanthus","Spiny chromis ","Miller-Sims et al. 2005 Mol Ecol Notes 5:841-843",1,"Australia","One Tree Island Lagoon",-23.507409,152.066936,NA,"",1,"AC 37",0,20,"2",0.71,NA,"msats000",0.71
"3","Acanthochromis polyacanthus","Spiny chromis ","Miller-Sims et al. 2005 Mol Ecol Notes 5:841-843",1,"Australia","One Tree Island Lagoon",-23.507409,152.066936,NA,"",1,"AC 42",0,20,"2",0.85,NA,"msats000",0.85
"4","Acanthochromis polyacanthus","Spiny chromis ","Miller-Sims et al. 2005 Mol Ecol Notes 5:841-843",1,"Australia","One Tree Island Lagoon",-23.507409,152.066936,NA,"",1,"AC 45",0,20,"2",0.89,NA,"msats000",0.89
"5","Acanthochromis polyacanthus","Spiny chromis ","Miller-Sims et al. 2005 Mol Ecol Notes 5:841-843",1,"Australia","One Tree Island Lagoon",-23.507409,152.066936,NA,"",1,"POM 15",0,20,"2",0.81,NA,"msats000",0.81
"6","Acanthochromis polyacanthus","Spiny chromis ","Miller-Sims et al. 2005 Mol Ecol Notes 5:841-843",1,"Australia","One Tree Island Lagoon",-23.507409,152.066936,NA,"",1,"POM 3",0,20,"2",0.6,NA,"msats000",0.6
"7","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Fitzroy reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.6,152.109619,NA,"2003/2005?",1,"AC33?",0,41,NA,0.3,NA,"msats100",0.3
"8","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Fitzroy reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.6,152.109619,NA,"2003/2005?",1,"AC37",0,41,NA,0.66,NA,"msats100",0.66
"9","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Fitzroy reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.6,152.109619,NA,"2003/2005?",1,"POM15?",0,41,NA,0.86,NA,"msats100",0.86
"10","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Fitzroy reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.6,152.109619,NA,"2003/2005?",1,"POM3",0,41,NA,0.84,NA,"msats100",0.84
"11","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Heron reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.4,151.958821,NA,"2005",1,"AC33",0,51,NA,0.69,NA,"msats100",0.69
"12","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Heron reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.4,151.958821,NA,"2005",1,"AC37",0,51,NA,0.66,NA,"msats100",0.66
"13","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Heron reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.4,151.958821,NA,"2005",1,"POM3?",0,51,NA,0.63,NA,"msats100",0.63
"14","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Hixson reef, Swain group of Southern Great Barrier Reef",-22.3,152.760095,NA,"2006",1,"AC33?",0,45,NA,0.89,NA,"msats100",0.89
"15","Acanthochromis polyacanthus","","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Hixson reef, Swain group of Southern Great Barrier Reef",-22.3,152.760095,NA,"2006",1,"AC37",0,45,NA,0.72,NA,"msats100",0.72
"16","Acanthochromis polyacanthus","","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Hixson reef, Swain group of Southern Great Barrier Reef",-22.3,152.760095,NA,"2006",1,"POM3",0,45,NA,0.86,NA,"msats100",0.86
"17","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Lamont reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.6,151.968342,NA,"2003/2005?",1,"AC33",0,45,NA,0.59,NA,"msats100",0.59
"18","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Lamont reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.6,151.968342,NA,"2003/2005?",1,"AC37",0,45,NA,0.49,NA,"msats100",0.49
"19","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Lamont reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.6,151.968342,NA,"2003/2005?",1,"POM15?",0,45,NA,0.86,NA,"msats100",0.86
"20","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Lamont reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.6,151.968342,NA,"2003/2005?",1,"POM3",0,45,NA,0.5,NA,"msats100",0.5
"21","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","One Tree Island, Capricorn-Bunker group of Southern Great Barrier Reef",-23.5,152.097106,NA,"2005",1,"AC33",0,35,NA,0.62,NA,"msats100",0.62
"22","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","One Tree Island, Capricorn-Bunker group of Southern Great Barrier Reef",-23.5,152.097106,NA,"2005",1,"AC37",0,35,NA,0.61,NA,"msats100",0.61
"23","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","One Tree Island, Capricorn-Bunker group of Southern Great Barrier Reef",-23.5,152.097106,NA,"2005",1,"POM15",0,35,NA,0.89,NA,"msats100",0.89
"24","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","One Tree Island, Capricorn-Bunker group of Southern Great Barrier Reef",-23.5,152.097106,NA,"2005",1,"POM3",0,35,NA,0.69,NA,"msats100",0.69
"25","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Sweet Lip reef, Swain group of Southern Great Barrier Reef",-22.3,152.769193,NA,"2006",1,"AC37",0,49,NA,0.88,NA,"msats100",0.88
"26","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Sweet Lip reef, Swain group of Southern Great Barrier Reef",-22.3,152.769193,NA,"2006",1,"POM3?",0,49,NA,0.87,NA,"msats100",0.87
"27","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Sykes reef Capricorn-Bunker group of Southern Great Barrier Reef",-23.4,152.072461,NA,"2005",1,"AC37",0,57,NA,0.66,NA,"msats100",0.66
"28","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Sykes reef Capricorn-Bunker group of Southern Great Barrier Reef",-23.4,152.072461,NA,"2005",1,"POM3",0,57,NA,0.78,NA,"msats100",0.78
"29","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Sykes reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.4,152.072461,NA,"2005",1,"AC33?",0,57,NA,0.79,NA,"msats100",0.79
"30","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Botany Bay",-33.988469,151.181009,NA,"",6,"",1,30,"2",0.977278748473962,0.048,"msats001",0.8
"31","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Botany Bay",-33.988469,151.181009,NA,"",6,"",1,30,"2",0.777389542217836,0.048,"msats001",0.8
"32","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Botany Bay",-33.988469,151.181009,NA,"",6,"",1,30,"2",0.826606888004564,0.048,"msats001",0.8
"33","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Botany Bay",-33.988469,151.181009,NA,"",6,"",1,30,"2",0.967109088288232,0.048,"msats001",0.8
"34","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Botany Bay",-33.988469,151.181009,NA,"",6,"",1,30,"2",0.728033702730413,0.048,"msats001",0.8
"35","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Botany Bay",-33.988469,151.181009,NA,"",6,"",1,30,"2",0.790832551587509,0.048,"msats001",0.8
"36","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Corunna Site 1",-36.260954,150.122571,NA,"",6,"",1,30,"2",0.898416113270179,0.123,"msats001",0.79
"37","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Corunna Site 1",-36.260954,150.122571,NA,"",6,"",1,30,"2",0.517718433893044,0.123,"msats001",0.79
"38","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Corunna Site 1",-36.260954,150.122571,NA,"",6,"",1,30,"2",0.328593823982211,0.123,"msats001",0.79
"39","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Corunna Site 1",-36.260954,150.122571,NA,"",6,"",1,30,"2",0.664107974591347,0.123,"msats001",0.79
"40","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Corunna Site 1",-36.260954,150.122571,NA,"",6,"",1,30,"2",0.885341956635886,0.123,"msats001",0.79
"41","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Corunna Site 1",-36.260954,150.122571,NA,"",6,"",1,30,"2",0.895194960065892,0.123,"msats001",0.79
"42","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Corunna Site 3",-36.284481,150.119738,NA,"",6,"",1,30,"2",0.754189728733818,0.099,"msats001",0.812
"43","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Corunna Site 3",-36.284481,150.119738,NA,"",6,"",1,30,"2",0.742570430609617,0.099,"msats001",0.812
"44","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Corunna Site 3",-36.284481,150.119738,NA,"",6,"",1,30,"2",0.72928242629707,0.099,"msats001",0.812
"45","Acanthopagrus australis","Surf bream","Roberts & Ayre 2010 Mar Ecol Prog Series 412:223-230",0,"Australia","Corunna Site 3",-36.284481,150.119738,NA,"",6,"",1,30,"2",0.608236456323524,0.099,"msats001",0.812
